date,time,balance,equity,profit,floating_profit,drawdown,today_profit,yesterday_profit,week_profit,month_profit,total_profit,server,symbol,nickname,ip
2025-07-06,19:07:34,3000.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-06,19:07:34,3000.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-06,19:07:35,3000.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,01:00:08,3000.00,3000.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,01:00:08,3000.00,3000.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,01:00:15,3000.00,3000.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,01:22:02,3005.76,2998.59,-7.17,-1.41,50.07,5.76,0.00,5.76,5.76,5.76,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,01:25:12,3007.01,2998.31,-8.70,-1.69,50.09,7.01,0.00,7.01,7.01,7.01,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,02:13:04,3008.74,2995.21,-13.53,-4.79,50.15,8.74,0.00,8.74,8.74,8.74,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,02:15:20,3008.74,2993.83,-14.91,-6.17,50.18,8.74,0.00,8.74,8.74,8.74,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,02:56:58,3013.31,2987.79,-25.52,-12.21,50.31,13.31,0.00,13.31,13.31,13.31,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,03:03:40,3013.31,2985.25,-28.06,-14.75,50.36,13.31,0.00,13.31,13.31,13.31,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,03:38:57,3017.66,2971.87,-45.79,-28.13,50.61,17.66,0.00,17.66,17.66,17.66,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,03:48:32,3017.66,2978.08,-39.58,-21.92,50.51,17.66,0.00,17.66,17.66,17.66,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,04:13:33,3025.05,2936.63,-88.42,-63.37,51.26,25.05,0.00,25.05,25.05,25.05,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,04:31:54,3031.18,2933.74,-97.44,-66.26,51.36,31.18,0.00,31.18,31.18,31.18,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,04:57:56,3031.12,2963.93,-67.19,-36.07,50.86,31.12,0.00,31.12,31.12,31.12,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,05:16:29,3031.12,2944.12,-87.00,-55.88,51.19,31.12,0.00,31.12,31.12,31.12,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,07:06:28,3036.88,2943.92,-92.96,-92.96,51.23,0.00,0.00,0.00,0.00,37.00,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,07:06:29,3036.88,2943.92,-92.96,-92.96,51.23,0.00,0.00,0.00,0.00,37.00,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,07:06:30,3036.88,2943.72,-93.16,-93.16,51.24,0.00,0.00,0.00,0.00,36.88,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,07:06:41,3036.88,2945.52,-91.36,-54.48,51.21,36.88,0.00,36.88,36.88,36.88,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,07:07:46,3036.88,2942.12,-94.76,-57.88,51.26,36.88,0.00,36.88,36.88,36.88,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,07:07:54,3036.88,2940.02,-96.86,-59.98,51.30,36.88,0.00,36.88,36.88,36.88,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,07:50:00,3039.25,2888.60,-150.65,-111.40,52.17,39.25,0.00,39.25,39.25,39.25,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,07:51:51,3039.25,2895.80,-143.45,-104.20,52.05,39.25,0.00,39.25,39.25,39.25,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,08:35:34,3039.25,2936.50,-102.75,-63.50,51.38,39.25,0.00,39.25,39.25,39.25,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,08:37:24,3039.25,2948.70,-90.55,-51.30,51.17,39.25,0.00,39.25,39.25,39.25,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,09:19:42,3039.25,2947.10,-92.15,-52.90,51.20,39.25,0.00,39.25,39.25,39.25,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,09:21:32,3039.25,2951.30,-87.95,-48.70,51.13,39.25,0.00,39.25,39.25,39.25,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,10:03:53,3039.25,2900.20,-139.05,-99.80,51.98,39.25,0.00,39.25,39.25,39.25,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,10:05:44,3039.25,2909.30,-129.95,-90.70,51.83,39.25,0.00,39.25,39.25,39.25,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,10:48:41,3040.87,2871.09,-169.78,-128.91,52.47,40.87,0.00,40.87,40.87,40.87,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,10:50:13,3040.87,2863.19,-177.68,-136.81,52.60,40.87,0.00,40.87,40.87,40.87,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,11:31:28,3043.80,2950.78,-93.02,-49.22,51.18,43.80,0.00,43.80,43.80,43.80,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,11:33:26,3043.80,2956.17,-87.63,-43.83,51.09,43.80,0.00,43.80,43.80,43.80,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,12:15:31,3043.80,2936.04,-107.76,-63.96,51.42,43.80,0.00,43.80,43.80,43.80,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,12:17:37,3043.80,2930.76,-113.04,-69.24,51.51,43.80,0.00,43.80,43.80,43.80,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,13:00:21,3043.80,2932.96,-110.84,-67.04,51.47,43.80,0.00,43.80,43.80,43.80,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,13:02:20,3043.80,2933.18,-110.62,-66.82,51.47,43.80,0.00,43.80,43.80,43.80,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,13:06:47,3043.80,2932.19,-111.61,-67.81,51.48,43.80,0.00,43.80,43.80,43.80,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,13:08:20,3043.80,2920.64,-123.16,-79.36,51.68,43.80,0.00,43.80,43.80,43.80,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,13:08:56,3043.80,2922.40,-121.40,-77.60,51.65,43.80,0.00,43.80,43.80,43.80,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,13:42:34,3052.13,2818.38,-233.75,-181.62,53.43,52.13,0.00,52.13,52.13,52.13,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,13:46:54,3053.11,2832.07,-221.04,-167.93,53.21,53.11,0.00,53.11,53.11,53.11,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,14:24:03,3053.11,2874.91,-178.20,-125.09,52.51,53.11,0.00,53.11,53.11,53.11,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,14:30:13,3053.11,2849.47,-203.64,-150.53,52.93,53.11,0.00,53.11,53.11,53.11,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,15:07:38,3053.11,2867.35,-185.76,-132.65,52.63,53.11,0.00,53.11,53.11,53.11,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,15:13:56,3053.11,2871.19,-181.92,-128.81,52.57,53.11,0.00,53.11,53.11,53.11,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,15:50:40,3053.05,2961.62,-91.43,-38.38,51.07,53.05,0.00,53.05,53.05,53.05,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,15:56:34,3053.05,2946.33,-106.72,-53.67,51.33,53.05,0.00,53.05,53.05,53.05,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,16:34:10,3053.05,2934.89,-118.16,-65.11,51.51,53.05,0.00,53.05,53.05,53.05,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,16:39:55,3053.05,2913.88,-139.17,-86.12,51.86,53.05,0.00,53.05,53.05,53.05,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,17:16:37,3069.58,3037.26,-32.32,37.26,49.96,69.58,0.00,69.58,69.58,69.58,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,17:22:54,3069.58,3040.32,-29.26,40.32,49.91,69.58,0.00,69.58,69.58,69.58,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,18:00:03,3072.37,3038.34,-34.03,38.34,49.96,72.37,0.00,72.37,72.37,72.37,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,18:05:58,3072.37,3040.14,-32.23,40.14,49.93,72.37,0.00,72.37,72.37,72.37,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,18:44:02,3072.37,3032.54,-39.83,32.54,50.06,72.37,0.00,72.37,72.37,72.37,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,18:50:02,3072.37,3033.04,-39.33,33.04,50.05,72.37,0.00,72.37,72.37,72.37,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,19:06:58,3072.37,3031.62,-40.75,31.62,50.08,72.37,0.00,72.37,72.37,72.37,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,19:08:31,3072.37,3031.70,-40.67,31.70,50.07,72.37,0.00,72.37,72.37,72.37,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
