date,time,balance,equity,profit,floating_profit,drawdown,today_profit,yesterday_profit,week_profit,month_profit,total_profit,server,symbol,nickname,ip
2025-07-01,05:33:56,4799.11,7749.60,2950.49,2950.49,92.06,0.00,0.00,0.00,0.00,-27036.53,XMGlobal-MT5 2,ETHUSD#,demo,129.226.131.86
2025-07-01,11:34:02,4799.11,1862.13,-2936.98,-2936.98,98.09,0.00,0.00,0.00,0.00,-27036.53,XMGlobal-MT5 2,ETHUSD#,demo,129.226.131.86
2025-07-01,17:34:07,1.61,1.53,-0.08,-4797.58,100.00,-4797.50,0.00,-4797.50,-4797.50,-31834.03,XMGlobal-MT5 2,ETHUSD#,demo,129.226.131.86
2025-07-01,23:34:24,0.00,0.00,0.00,-4799.11,100.00,-4799.11,0.00,-4799.11,-4799.11,-31835.64,XMGlobal-MT5 2,ETHUSD#,demo,129.226.131.86
2025-07-02,05:34:34,0.00,0.00,0.00,0.00,100.00,0.00,-4799.11,-4799.11,-4799.11,-31835.64,XMGlobal-MT5 2,ETHUSD#,demo,129.226.131.86
2025-07-02,11:34:40,0.00,0.00,0.00,0.00,100.00,0.00,-4799.11,-4799.11,-4799.11,-31835.64,XMGlobal-MT5 2,ETHUSD#,demo,129.226.131.86
