date,time,balance,equity,profit,floating_profit,drawdown,today_profit,yesterday_profit,week_profit,month_profit,total_profit,server,symbol,nickname,ip
2025-07-01,01:06:20,4131.38,4094.01,-37.37,-37.37,42.59,0.00,73.74,73.74,0.00,1131.38,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,01:16:55,4131.38,4092.94,-38.44,-38.44,44.05,0.00,73.74,73.74,0.00,1131.38,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,01:24:53,4131.38,4091.70,-39.68,-39.68,42.62,0.00,73.74,73.74,0.00,1131.38,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:16:43,4130.96,3936.50,-194.46,-194.88,46.19,-0.42,73.74,73.32,-0.42,1130.96,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:16:43,4130.96,3936.50,-194.46,-194.88,44.80,-0.42,73.74,73.32,-0.42,1130.96,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:16:51,4218.18,3942.20,-275.98,-189.18,45.39,86.80,73.74,160.54,86.80,1218.18,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:21:30,4218.11,3947.37,-270.74,-184.01,46.04,86.73,73.74,160.47,86.73,1218.11,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:23:48,4218.65,3935.80,-282.85,-195.58,45.48,87.27,73.74,161.01,87.27,1218.65,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:30:32,4219.48,3920.38,-299.10,-211.00,46.41,88.10,73.74,161.84,88.10,1219.48,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:30:44,4219.48,3920.49,-298.99,-210.89,45.70,88.10,73.74,161.84,88.10,1219.48,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:38:04,4219.41,3960.97,-258.44,-170.41,45.85,88.03,73.74,161.77,88.03,1219.41,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:38:16,4219.41,3957.59,-261.82,-173.79,45.18,88.03,73.74,161.77,88.03,1219.41,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:44:26,4219.41,3949.95,-269.46,-181.43,46.01,88.03,73.74,161.77,88.03,1219.41,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:45:01,4219.41,3953.38,-266.03,-178.00,45.24,88.03,73.74,161.77,88.03,1219.41,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:51:53,4219.41,3938.98,-280.43,-192.40,46.16,88.03,73.74,161.77,88.03,1219.41,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:52:15,4219.82,3939.97,-279.85,-191.41,45.43,88.44,73.74,162.18,88.44,1219.82,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:59:15,4219.92,3945.15,-274.77,-186.23,45.36,88.54,73.74,162.28,88.54,1219.92,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
2025-07-01,14:59:35,4219.92,3948.27,-271.65,-183.11,46.03,88.54,73.74,162.28,88.54,1219.92,LiteFinance-MT5-Demo,XAUUSD_o,demo,124.56.192.61
