date,time,balance,equity,profit,floating_profit,drawdown,today_profit,yesterday_profit,week_profit,month_profit,total_profit,server,symbol,nickname,ip
2025-07-01,01:05:10,3023.30,3001.49,-21.81,-21.81,50.17,0.00,23.30,23.30,0.00,23.30,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,01:22:58,3023.30,3006.65,-16.65,-16.65,50.08,0.00,23.30,23.30,0.00,23.30,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,01:23:51,3023.30,3006.55,-16.75,-16.75,50.08,0.00,23.30,23.30,0.00,23.30,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,01:24:11,3023.30,3006.59,-16.71,-16.71,50.08,0.00,23.30,23.30,0.00,23.30,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,01:24:26,3023.30,3006.63,-16.67,-16.67,50.08,0.00,23.30,23.30,0.00,23.30,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,01:24:30,3023.30,3006.63,-16.67,-16.67,50.08,0.00,23.30,23.30,0.00,23.30,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,01:32:58,3024.26,3007.55,-16.71,-15.75,50.08,0.96,23.30,24.26,0.96,24.26,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,01:52:02,3032.89,3011.81,-21.08,-11.49,50.08,9.59,23.30,32.89,9.59,32.89,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,01:52:56,3032.83,3010.25,-22.58,-13.05,50.10,9.53,23.30,32.83,9.53,32.83,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,02:10:57,3035.28,3015.81,-19.47,-7.49,50.03,11.98,23.30,35.28,11.98,35.28,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,02:27:45,3035.28,3015.81,-19.47,-7.49,50.03,11.98,23.30,35.28,11.98,35.28,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,02:34:04,3035.28,3015.81,-19.47,-7.49,50.03,11.98,23.30,35.28,11.98,35.28,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,03:01:50,3036.40,3015.67,-20.73,-7.63,50.04,13.10,23.30,36.40,13.10,36.40,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,03:18:51,3036.40,3015.67,-20.73,-7.63,50.04,13.10,23.30,36.40,13.10,36.40,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,03:23:58,3036.40,3015.67,-20.73,-7.63,50.04,13.10,23.30,36.40,13.10,36.40,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,03:50:26,3036.40,3015.67,-20.73,-7.63,50.04,13.10,23.30,36.40,13.10,36.40,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,04:04:13,3040.21,3014.71,-25.50,-8.59,50.09,16.91,23.30,40.21,16.91,40.21,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,04:06:06,3043.44,3015.04,-28.40,-8.26,50.11,20.14,23.30,43.44,20.14,43.44,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,04:23:11,3049.85,3015.26,-34.59,-8.04,50.16,26.55,23.30,49.85,26.55,49.85,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,04:35:28,3051.43,3015.92,-35.51,-7.38,50.16,28.13,23.30,51.43,28.13,51.43,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,04:39:24,3051.43,3015.92,-35.51,-7.38,50.16,28.13,23.30,51.43,28.13,51.43,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,05:05:58,3051.43,3015.92,-35.51,-7.38,50.16,28.13,23.30,51.43,28.13,51.43,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,05:20:49,3051.37,3015.43,-35.94,-7.87,50.17,28.07,23.30,51.37,28.07,51.37,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,05:25:09,3051.37,3015.25,-36.12,-8.05,50.17,28.07,23.30,51.37,28.07,51.37,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,05:54:50,3053.16,3019.22,-33.94,-4.08,50.12,29.86,23.30,53.16,29.86,53.16,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,06:09:27,3053.16,3019.22,-33.94,-4.08,50.12,29.86,23.30,53.16,29.86,53.16,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,06:13:40,3053.16,3019.22,-33.94,-4.08,50.12,29.86,23.30,53.16,29.86,53.16,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,06:26:15,3054.88,3019.09,-35.79,-4.15,50.14,31.64,23.30,54.94,31.64,54.88,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,06:58:19,3057.38,3019.35,-38.03,-3.95,50.15,34.08,23.30,57.38,34.08,57.38,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,06:58:24,3057.38,3019.35,-38.03,-3.95,50.15,34.08,23.30,57.38,34.08,57.38,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,07:00:47,3057.38,3019.35,-38.03,-3.95,50.15,34.08,23.30,57.38,34.08,57.38,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,07:23:50,3058.97,3018.92,-40.05,-4.38,50.17,35.67,23.30,58.97,35.67,58.97,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,07:24:22,3058.97,3018.92,-40.05,-4.38,50.17,35.67,23.30,58.97,35.67,58.97,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,07:24:57,3058.97,3018.92,-40.05,-4.38,50.17,35.67,23.30,58.97,35.67,58.97,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,07:25:19,3058.97,3018.92,-40.05,-4.38,50.17,35.67,23.30,58.97,35.67,58.97,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
2025-07-01,07:47:54,3058.97,3018.92,-40.05,-4.38,50.17,35.67,23.30,58.97,35.67,58.97,DooTechnology-Demo,XAUUSD,demo,61.72.251.43
