date,time,balance,equity,profit,floating_profit,drawdown,today_profit,yesterday_profit,week_profit,month_profit,total_profit,server,symbol,nickname,ip
2025-07-18,20:57:32,3000.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,20:57:32,3000.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,20:57:59,2999.93,2999.87,-0.06,-0.13,50.00,-0.07,0.00,-0.07,-0.07,-0.07,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,20:58:14,2999.93,2999.49,-0.44,-0.51,50.01,-0.07,0.00,-0.07,-0.07,-0.07,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,21:39:09,3002.33,2999.50,-2.83,-0.50,50.03,2.33,0.00,2.33,2.33,2.33,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,21:45:47,3002.33,2999.38,-2.95,-0.62,50.03,2.33,0.00,2.33,2.33,2.33,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,22:13:16,3002.33,2999.50,-2.83,-0.50,50.03,2.33,0.00,2.33,2.33,2.33,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,22:13:30,3002.33,2999.50,-2.83,-0.50,50.03,2.33,0.00,2.33,2.33,2.33,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,22:30:55,3002.33,2999.43,-2.90,-0.57,50.03,2.33,0.00,2.33,2.33,2.33,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,22:36:21,3003.02,2998.20,-4.82,-1.80,50.06,3.02,0.00,3.02,3.02,3.02,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,22:37:47,3003.02,2998.94,-4.08,-1.06,50.04,3.02,0.00,3.02,3.02,3.02,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,22:45:49,3003.02,2998.82,-4.20,-1.18,50.04,3.02,0.00,3.02,3.02,3.02,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,22:48:36,3003.02,2998.79,-4.23,-1.21,50.05,3.02,0.00,3.02,3.02,3.02,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,22:48:52,3003.02,2998.69,-4.33,-1.31,50.05,3.02,0.00,3.02,3.02,3.02,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,23:14:47,3003.68,2999.99,-3.69,-0.01,50.03,3.68,0.00,3.68,3.68,3.68,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
2025-07-18,23:34:33,3003.68,2999.07,-4.61,-0.93,50.05,3.68,0.00,3.68,3.68,3.68,LiteFinance-MT5-Demo,XAUUSD_o,demo,121.162.161.62
