date,time,balance,equity,profit,floating_profit,drawdown,today_profit,yesterday_profit,week_profit,month_profit,total_profit,server,symbol,nickname,ip
2025-07-01,01:10:26,3011.88,3011.81,-0.07,2.07,49.90,2.14,9.80,11.94,2.14,11.88,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,01:57:58,3013.55,3004.56,-8.99,-5.24,50.04,3.75,9.80,13.55,3.75,13.55,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,01:59:38,3013.55,3004.88,-8.67,-4.92,50.03,3.75,9.80,13.55,3.75,13.55,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,02:49:48,3013.55,3004.12,-9.43,-5.68,50.04,3.75,9.80,13.55,3.75,13.55,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,03:38:59,3013.55,3003.82,-9.73,-5.98,50.05,3.75,9.80,13.55,3.75,13.55,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,04:24:28,3013.43,2985.08,-28.35,-24.72,50.36,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,05:09:41,3013.43,2995.04,-18.39,-14.76,50.20,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,05:56:21,3013.43,2994.08,-19.35,-15.72,50.21,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,06:45:10,3013.43,2974.52,-38.91,-35.28,50.54,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,07:33:19,3013.43,2973.16,-40.27,-36.64,50.56,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,07:58:42,3013.43,2970.84,-42.59,-38.96,50.60,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,08:22:24,3013.43,2944.68,-68.75,-65.12,51.03,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,09:09:16,3013.43,2947.52,-65.91,-62.28,50.99,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,09:55:10,3013.43,2937.56,-75.87,-72.24,51.15,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,10:40:45,3013.43,2925.52,-87.91,-84.28,51.35,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,11:28:00,3013.43,2904.36,-109.07,-105.44,51.70,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,12:14:42,3013.43,2901.76,-111.67,-108.04,51.75,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,13:00:22,3013.43,2879.00,-134.43,-130.80,52.12,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,13:46:49,3013.43,2872.20,-141.23,-137.60,52.24,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,13:58:53,3013.43,2864.76,-148.67,-145.04,52.36,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,14:32:10,3013.43,2857.76,-155.67,-152.04,52.48,3.63,9.80,13.43,3.63,13.43,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,15:18:43,3012.77,2715.97,-296.80,-293.83,54.84,2.97,9.80,12.77,2.97,12.77,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,16:04:46,3012.59,2704.51,-308.08,-305.29,55.03,2.79,9.80,12.59,2.79,12.59,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,16:48:43,3012.59,2790.37,-222.22,-219.43,53.60,2.79,9.80,12.59,2.79,12.59,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,17:33:23,3012.59,2716.93,-295.66,-292.87,54.82,2.79,9.80,12.59,2.79,12.59,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,18:18:45,3012.59,2885.23,-127.36,-124.57,52.02,2.79,9.80,12.59,2.79,12.59,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,19:04:16,3012.59,2916.73,-95.86,-93.07,51.50,2.79,9.80,12.59,2.79,12.59,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,19:49:35,3012.59,2876.77,-135.82,-133.03,52.16,2.79,9.80,12.59,2.79,12.59,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,19:59:47,3012.59,2895.67,-116.92,-114.13,51.85,2.79,9.80,12.59,2.79,12.59,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,20:35:37,3012.59,2967.13,-45.46,-42.67,50.66,2.79,9.80,12.59,2.79,12.59,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,21:23:21,3012.59,2961.01,-51.58,-48.79,50.76,2.79,9.80,12.59,2.79,12.59,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-01,22:11:09,3012.59,2951.47,-61.12,-58.33,50.92,2.79,9.80,12.59,2.79,12.59,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
