date,time,balance,equity,profit,floating_profit,drawdown,today_profit,yesterday_profit,week_profit,month_profit,total_profit,server,symbol,nickname,ip
2025-07-06,19:06:11,3000.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,01:00:09,3000.00,3000.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,01:30:59,3002.96,3001.11,-1.85,1.11,50.01,2.96,0.00,2.96,2.96,2.96,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,02:24:04,3002.90,2996.78,-6.12,-3.22,50.08,2.90,0.00,2.90,2.90,2.90,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,03:11:43,3002.84,2979.43,-23.41,-20.57,50.37,2.84,0.00,2.84,2.84,2.84,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,03:56:36,3002.84,2984.41,-18.43,-15.59,50.28,2.84,0.00,2.84,2.84,2.84,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,04:39:42,3002.60,2967.96,-34.64,-32.04,50.56,2.60,0.00,2.60,2.60,2.60,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,05:24:48,3002.60,2947.03,-55.57,-52.97,50.91,2.60,0.00,2.60,2.60,2.60,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,06:08:51,3002.48,2933.15,-69.33,-66.85,51.14,2.48,0.00,2.48,2.48,2.48,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,06:53:53,3002.48,2928.38,-74.10,-71.62,51.22,2.48,0.00,2.48,2.48,2.48,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,07:00:14,3002.48,2938.82,-63.66,-61.18,51.04,2.48,0.00,2.48,2.48,2.48,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,07:39:13,3002.48,2910.11,-92.37,-89.89,51.52,2.48,0.00,2.48,2.48,2.48,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,08:25:03,3002.48,2917.31,-85.17,-82.69,51.40,2.48,0.00,2.48,2.48,2.48,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,09:09:21,3002.48,2951.69,-50.79,-48.31,50.83,2.48,0.00,2.48,2.48,2.48,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,09:53:19,3002.48,2926.04,-76.44,-73.96,51.26,2.48,0.00,2.48,2.48,2.48,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,10:38:07,3002.48,2920.46,-82.02,-79.54,51.35,2.48,0.00,2.48,2.48,2.48,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,11:21:38,3002.36,2922.23,-80.13,-77.77,51.32,2.36,0.00,2.36,2.36,2.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,12:05:32,3002.36,2951.49,-50.87,-48.51,50.83,2.36,0.00,2.36,2.36,2.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,12:50:04,3002.36,2922.45,-79.91,-77.55,51.32,2.36,0.00,2.36,2.36,2.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,13:00:17,3002.36,2936.20,-66.16,-63.80,51.09,2.36,0.00,2.36,2.36,2.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,13:34:54,3002.36,2927.51,-74.85,-72.49,51.23,2.36,0.00,2.36,2.36,2.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,14:17:47,3002.36,2882.63,-119.73,-117.37,51.98,2.36,0.00,2.36,2.36,2.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,15:01:18,3002.36,2857.77,-144.59,-142.23,52.39,2.36,0.00,2.36,2.36,2.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,15:44:42,3002.36,2939.06,-63.30,-60.94,51.04,2.36,0.00,2.36,2.36,2.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,16:28:21,3002.36,2960.07,-42.29,-39.93,50.69,2.36,0.00,2.36,2.36,2.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,17:11:52,3012.78,3012.99,0.21,12.99,49.89,12.78,0.00,12.78,12.78,12.78,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,17:59:31,3017.91,3017.63,-0.28,17.69,49.86,17.97,0.00,17.97,17.97,17.91,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,18:47:17,3021.11,3021.26,0.15,21.26,49.82,21.11,0.00,21.11,21.11,21.11,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,19:00:53,3021.11,3019.69,-1.42,19.69,49.85,21.11,0.00,21.11,21.11,21.11,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,19:33:10,3022.26,3021.53,-0.73,21.53,49.83,22.26,0.00,22.26,22.26,22.26,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,20:16:07,3022.20,3006.04,-16.16,6.04,50.08,22.20,0.00,22.20,22.20,22.20,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,20:59:48,3022.20,3004.69,-17.51,4.69,50.11,22.20,0.00,22.20,22.20,22.20,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,21:44:05,3022.20,2998.45,-23.75,-1.55,50.21,22.20,0.00,22.20,22.20,22.20,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,22:28:35,3022.14,2981.37,-40.77,-18.63,50.49,22.14,0.00,22.14,22.14,22.14,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-07,23:14:10,3022.14,2989.37,-32.77,-10.63,50.36,22.14,0.00,22.14,22.14,22.14,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,01:02:08,3022.14,2974.37,-47.77,-47.77,50.61,0.00,22.14,22.14,22.14,22.14,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,01:11:05,3022.08,2959.40,-62.68,-62.74,50.86,-0.06,22.14,22.08,22.08,22.08,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,02:04:44,3022.08,2993.85,-28.23,-28.29,50.29,-0.06,22.14,22.08,22.08,22.08,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,02:55:07,3022.08,3000.05,-22.03,-22.09,50.18,-0.06,22.14,22.08,22.08,22.08,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,03:39:33,3022.08,3019.00,-3.08,-3.14,49.87,-0.06,22.14,22.08,22.08,22.08,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,04:24:26,3026.05,3022.61,-3.44,0.47,49.84,3.91,22.14,26.05,26.05,26.05,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,05:08:30,3025.99,3023.12,-2.87,0.98,49.83,3.85,22.14,25.99,25.99,25.99,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,05:53:41,3025.99,3017.94,-8.05,-4.20,49.92,3.85,22.14,25.99,25.99,25.99,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,06:42:19,3030.78,3029.30,-1.48,7.16,49.77,8.64,22.14,30.78,30.78,30.78,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,07:02:09,3030.78,3029.07,-1.71,6.93,49.77,8.64,22.14,30.78,30.78,30.78,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,07:31:43,3030.78,3030.73,-0.05,8.59,49.75,8.64,22.14,30.78,30.78,30.78,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,08:18:59,3032.02,3025.75,-6.27,3.61,49.84,9.88,22.14,32.02,32.02,32.02,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,09:05:32,3032.02,3025.97,-6.05,3.83,49.83,9.88,22.14,32.02,32.02,32.02,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,09:50:52,3032.02,3028.77,-3.25,6.63,49.79,9.88,22.14,32.02,32.02,32.02,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,10:36:09,3033.37,3031.87,-1.50,9.73,49.75,11.23,22.14,33.37,33.37,33.37,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,11:20:37,3036.50,3026.62,-9.88,4.48,49.86,14.36,22.14,36.50,36.50,36.50,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,12:04:33,3036.44,3020.49,-15.95,-1.65,49.96,14.30,22.14,36.44,36.44,36.44,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,12:49:34,3036.44,3021.06,-15.38,-1.08,49.95,14.30,22.14,36.44,36.44,36.44,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,13:02:46,3036.44,3017.46,-18.98,-4.68,50.01,14.30,22.14,36.44,36.44,36.44,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,13:35:29,3036.44,3024.24,-12.20,2.10,49.90,14.30,22.14,36.44,36.44,36.44,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,14:21:56,3036.44,3028.32,-8.12,6.18,49.83,14.30,22.14,36.44,36.44,36.44,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,15:07:04,3036.44,3035.40,-1.04,13.26,49.72,14.30,22.14,36.44,36.44,36.44,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,15:51:51,3036.44,3033.12,-3.32,10.98,49.75,14.30,22.14,36.44,36.44,36.44,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,16:36:48,3036.38,3024.54,-11.84,2.40,49.90,14.24,22.14,36.38,36.38,36.38,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,17:21:15,3036.20,2947.57,-88.63,-74.57,51.17,14.06,22.14,36.20,36.20,36.20,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,18:06:20,3035.84,2852.25,-183.59,-169.89,52.75,13.70,22.14,35.84,35.84,35.84,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,18:51:37,3035.72,2918.98,-116.74,-103.16,51.64,13.58,22.14,35.72,35.72,35.72,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,19:03:10,3035.72,2893.33,-142.39,-128.81,52.07,13.58,22.14,35.72,35.72,35.72,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,19:37:13,3035.72,2883.28,-152.44,-138.86,52.24,13.58,22.14,35.72,35.72,35.72,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,20:20:13,3035.72,3008.38,-27.34,-13.76,50.16,13.58,22.14,35.72,35.72,35.72,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,21:05:16,3053.03,3052.01,-1.02,29.87,49.58,30.89,22.14,53.03,53.03,53.03,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,21:50:56,3056.91,3055.96,-0.95,33.82,49.55,34.77,22.14,56.91,56.91,56.91,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,22:37:14,3059.20,3058.73,-0.47,36.59,49.52,37.06,22.14,59.20,59.20,59.20,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-08,23:27:59,3060.46,3060.20,-0.26,38.06,49.51,38.32,22.14,60.46,60.46,60.46,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,01:03:23,3062.77,3062.86,0.09,1.70,49.48,1.61,39.02,62.77,62.77,62.77,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,01:23:35,3064.36,3064.56,0.20,3.40,49.47,3.20,39.02,64.36,64.36,64.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,02:16:17,3066.14,3065.39,-0.75,4.23,49.47,4.98,39.02,66.14,66.14,66.14,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,03:03:29,3068.66,3064.96,-3.70,3.80,49.50,7.50,39.02,68.66,68.66,68.66,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,03:51:09,3071.08,3069.56,-1.52,8.40,49.44,9.92,39.02,71.08,71.08,71.08,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,04:37:46,3076.70,3076.16,-0.54,15.00,49.38,15.54,39.02,76.70,76.70,76.70,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,05:22:15,3076.64,3073.40,-3.24,12.24,49.42,15.48,39.02,76.64,76.64,76.64,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,06:06:21,3076.46,3038.98,-37.48,-22.18,49.99,15.30,39.02,76.46,76.46,76.46,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,06:52:14,3076.46,3066.38,-10.08,5.22,49.54,15.30,39.02,76.46,76.46,76.46,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,07:04:17,3076.46,3056.53,-19.93,-4.63,49.70,15.30,39.02,76.46,76.46,76.46,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,07:41:36,3076.46,3075.73,-0.73,14.57,49.38,15.30,39.02,76.46,76.46,76.46,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,08:29:08,3083.53,3077.09,-6.44,15.93,49.42,22.37,39.02,83.53,83.53,83.53,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,09:13:39,3083.47,3067.86,-15.61,6.70,49.57,22.31,39.02,83.47,83.47,83.47,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,09:58:20,3083.47,3079.62,-3.85,18.46,49.38,22.31,39.02,83.47,83.47,83.47,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,10:44:09,3089.44,3086.92,-2.52,25.76,49.31,28.28,39.02,89.44,89.44,89.44,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,11:28:35,3091.59,3079.99,-11.60,18.83,49.44,30.43,39.02,91.59,91.59,91.59,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,12:12:42,3091.59,3086.59,-5.00,25.43,49.33,30.43,39.02,91.59,91.59,91.59,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,12:58:42,3091.59,3085.81,-5.78,24.65,49.34,30.43,39.02,91.59,91.59,91.59,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,13:05:04,3093.46,3094.37,0.91,33.21,49.22,32.30,39.02,93.46,93.46,93.46,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,13:45:30,3097.81,3098.04,0.23,36.88,49.19,36.65,39.02,97.81,97.81,97.81,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,14:32:04,3099.01,3090.56,-8.45,29.40,49.33,37.85,39.02,99.01,99.01,99.01,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,15:16:31,3102.09,3100.90,-1.19,39.74,49.18,40.93,39.02,102.09,102.09,102.09,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,15:59:51,3104.60,3094.56,-10.04,33.40,49.31,43.44,39.02,104.60,104.60,104.60,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,16:43:34,3111.41,3112.40,0.99,51.24,49.07,50.25,39.02,111.41,111.41,111.41,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,17:26:41,3113.48,3098.76,-14.72,37.60,49.31,52.32,39.02,113.48,113.48,113.48,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,18:10:11,3113.42,3102.56,-10.86,41.40,49.25,52.26,39.02,113.42,113.42,113.42,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,18:53:42,3113.42,3094.20,-19.22,33.04,49.39,52.26,39.02,113.42,113.42,113.42,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,19:05:30,3113.42,3103.16,-10.26,42.00,49.24,52.26,39.02,113.42,113.42,113.42,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,19:38:14,3113.42,3086.60,-26.82,25.44,49.51,52.26,39.02,113.42,113.42,113.42,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,20:22:15,3113.42,3086.04,-27.38,24.88,49.52,52.26,39.02,113.42,113.42,113.42,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,21:07:01,3113.42,3094.96,-18.46,33.80,49.37,52.26,39.02,113.42,113.42,113.42,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,21:51:49,3113.42,3088.44,-24.98,27.28,49.48,52.26,39.02,113.42,113.42,113.42,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,22:36:31,3113.42,3070.32,-43.10,9.16,49.78,52.26,39.02,113.42,113.42,113.42,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-09,23:24:48,3113.42,3084.52,-28.90,23.36,49.55,52.26,39.02,113.42,113.42,113.42,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-10,01:06:23,3113.42,3072.44,-40.98,-40.98,49.74,0.00,52.26,113.42,113.42,113.42,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-10,01:20:39,3113.36,3053.60,-59.76,-59.82,50.05,-0.06,52.26,113.36,113.36,113.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-10,02:13:15,3113.36,3067.00,-46.36,-46.42,49.83,-0.06,52.26,113.36,113.36,113.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-10,03:08:02,3113.36,3058.15,-55.21,-55.27,49.98,-0.06,52.26,113.36,113.36,113.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-10,03:54:19,3113.36,3062.15,-51.21,-51.27,49.91,-0.06,52.26,113.36,113.36,113.36,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-10,04:38:37,3113.24,3024.69,-88.55,-88.73,50.52,-0.18,52.26,113.24,113.24,113.24,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-10,05:27:27,3113.24,3042.54,-70.70,-70.88,50.23,-0.18,52.26,113.24,113.24,113.24,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-10,06:15:19,3113.24,3071.31,-41.93,-42.11,49.76,-0.18,52.26,113.24,113.24,113.24,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-10,07:03:17,3113.24,3092.52,-20.72,-20.90,49.41,-0.18,52.26,113.24,113.24,113.24,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-10,07:07:42,3113.24,3087.62,-25.62,-25.80,49.49,-0.18,52.26,113.24,113.24,113.24,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-10,07:53:04,3113.24,3051.08,-62.16,-62.34,50.09,-0.18,52.26,113.24,113.24,113.24,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
2025-07-10,11:07:37,3113.12,3054.63,-58.49,-58.79,50.03,-0.30,52.26,113.12,113.12,113.12,DooTechnology-Demo,XAUUSD,demo,121.162.161.62
